Date,GEO,MEASURES,Value
1925,Newfoundland and Labrador,Household income per capita,..
1926,Newfoundland and Labrador,Household income per capita,..
1927,Newfoundland and Labrador,Household income per capita,..
1928,Newfoundland and Labrador,Household income per capita,..
1929,Newfoundland and Labrador,Household income per capita,..
1930,Newfoundland and Labrador,Household income per capita,..
1931,Newfoundland and Labrador,Household income per capita,..
1932,Newfoundland and Labrador,Household income per capita,..
1933,Newfoundland and Labrador,Household income per capita,..
1934,Newfoundland and Labrador,Household income per capita,..
1935,Newfoundland and Labrador,Household income per capita,..
1936,Newfoundland and Labrador,Household income per capita,..
1937,Newfoundland and Labrador,Household income per capita,..
1938,Newfoundland and Labrador,Household income per capita,..
1939,Newfoundland and Labrador,Household income per capita,..
1940,Newfoundland and Labrador,Household income per capita,..
1941,Newfoundland and Labrador,Household income per capita,..
1942,Newfoundland and Labrador,Household income per capita,..
1943,Newfoundland and Labrador,Household income per capita,..
1944,Newfoundland and Labrador,Household income per capita,..
1945,Newfoundland and Labrador,Household income per capita,..
1946,Newfoundland and Labrador,Household income per capita,..
1947,Newfoundland and Labrador,Household income per capita,..
1948,Newfoundland and Labrador,Household income per capita,..
1949,Newfoundland and Labrador,Household income per capita,487
1950,Newfoundland and Labrador,Household income per capita,507.1
1951,Newfoundland and Labrador,Household income per capita,554
1952,Newfoundland and Labrador,Household income per capita,595.7
1953,Newfoundland and Labrador,Household income per capita,638.7
1954,Newfoundland and Labrador,Household income per capita,661.6
1955,Newfoundland and Labrador,Household income per capita,693.1
1956,Newfoundland and Labrador,Household income per capita,751.2
1957,Newfoundland and Labrador,Household income per capita,791.5
1958,Newfoundland and Labrador,Household income per capita,802.3
1959,Newfoundland and Labrador,Household income per capita,836
1960,Newfoundland and Labrador,Household income per capita,881.4
1961,Newfoundland and Labrador,Household income per capita,953.9
1962,Newfoundland and Labrador,Household income per capita,987.1
1963,Newfoundland and Labrador,Household income per capita,1044.3
1964,Newfoundland and Labrador,Household income per capita,1105.8
1965,Newfoundland and Labrador,Household income per capita,1205.8
1966,Newfoundland and Labrador,Household income per capita,1351.6
1967,Newfoundland and Labrador,Household income per capita,1477.9
1968,Newfoundland and Labrador,Household income per capita,1607.9
1969,Newfoundland and Labrador,Household income per capita,1736.8
1970,Newfoundland and Labrador,Household income per capita,1908.9
1971,Newfoundland and Labrador,Household income per capita,2103.6
1972,Newfoundland and Labrador,Household income per capita,2338.9
1973,Newfoundland and Labrador,Household income per capita,2716.9
1974,Newfoundland and Labrador,Household income per capita,3325.4
1975,Newfoundland and Labrador,Household income per capita,3927.8
1976,Newfoundland and Labrador,Household income per capita,4399.3
1977,Newfoundland and Labrador,Household income per capita,4946.8
1978,Newfoundland and Labrador,Household income per capita,5349.2
1979,Newfoundland and Labrador,Household income per capita,6024.6
1980,Newfoundland and Labrador,Household income per capita,6510.5
1981,Newfoundland and Labrador,Household income per capita,7423.3
1982,Newfoundland and Labrador,Household income per capita,8329.8
1983,Newfoundland and Labrador,Household income per capita,8588.2
1984,Newfoundland and Labrador,Household income per capita,9120.7
1985,Newfoundland and Labrador,Household income per capita,9830.7
1986,Newfoundland and Labrador,Household income per capita,10606.6
1987,Newfoundland and Labrador,Household income per capita,11765.6
1988,Newfoundland and Labrador,Household income per capita,12883.5
1989,Newfoundland and Labrador,Household income per capita,13699.7
1990,Newfoundland and Labrador,Household income per capita,14724.4
1991,Newfoundland and Labrador,Household income per capita,15475.8
1992,Newfoundland and Labrador,Household income per capita,15805.2
1993,Newfoundland and Labrador,Household income per capita,16048.3
1994,Newfoundland and Labrador,Household income per capita,16724
1995,Newfoundland and Labrador,Household income per capita,17054.5
1996,Newfoundland and Labrador,Household income per capita,17117.4
1997,Newfoundland and Labrador,Household income per capita,17412.3
1998,Newfoundland and Labrador,Household income per capita,18077.5
1999,Newfoundland and Labrador,Household income per capita,19355.8
2000,Newfoundland and Labrador,Household income per capita,20403.8
2001,Newfoundland and Labrador,Household income per capita,21529.6
2002,Newfoundland and Labrador,Household income per capita,22509.6
2003,Newfoundland and Labrador,Household income per capita,23560.7
2004,Newfoundland and Labrador,Household income per capita,24289.6
2005,Newfoundland and Labrador,Household income per capita,25301
2006,Newfoundland and Labrador,Household income per capita,31035.2
2007,Newfoundland and Labrador,Household income per capita,31135.6
2008,Newfoundland and Labrador,Household income per capita,31123.3
2009,Newfoundland and Labrador,Household income per capita,32687.4
2010,Newfoundland and Labrador,Household income per capita,33823.4
